Data;Area desmatada;uf;municipio
27/02/2018;0.09;PA;Uruara
23/08/2020;0.09;AC;Sena Madureira
16/02/2018;0.09;MA;Santa Rita
24/09/2022;4.38;MT;Guaranta do Norte
14/08/2019;0.07;RO;Alto Paraiso
22/09/2021;0.07;PA;Altamira
24/08/2019;0.14;PA;Trairao
22/01/2019;2.45;MT;Nova Maringa
23/08/2020;0.1;AC;Porto Acre
18/11/2017;0.14;PA;Breu Branco
18/11/2017;0.09;PA;Goianesia do Para
23/08/2020;0.08;AM;Envira
27/02/2018;0.09;PA;Pacaja
16/02/2018;0.11;TO;Wanderlandia
16/02/2018;0.08;MA;Santa Rita
23/08/2020;0.11;AC;Porto Acre
16/02/2018;1.05;PA;Curionopolis
23/08/2020;0.1;AC;Porto Acre
03/10/2021;0.11;PA;Almeirim
16/02/2018;0.15;TO;Angico
24/09/2022;0.37;PA;Sao Felix do Xingu
16/02/2018;2.18;PA;Sapucaia
14/08/2019;0.18;RO;Monte Negro
22/09/2021;0.14;PA;Novo Progresso
24/08/2019;0.08;PA;Placas
22/01/2019;0.11;MT;Paranatinga
09/10/2016;0.4;MT;Novo Santo Antonio
23/08/2020;0.07;AM;Boca do Acre
27/02/2018;0.27;PA;Senador Jose Porfirio
16/02/2018;4.06;PA;Xinguara
23/08/2020;0.16;AM;Boca do Acre
03/10/2021;0.07;PA;Alenquer
23/08/2020;0.07;AC;Porto Acre
16/02/2018;0.17;PA;Xinguara
16/02/2018;0.31;PA;Paragominas
23/08/2020;0.12;AM;Boca do Acre
16/02/2018;2.13;TO;Aragominas
03/10/2021;0.1;PA;Medicilandia
16/02/2018;0.28;MA;Amarante do Maranhao
16/02/2018;1.45;PA;Sapucaia
24/09/2022;0.24;PA;Sao Felix do Xingu
29/08/2020;0.07;AC;Brasileia
22/09/2021;0.18;PA;Novo Progresso
22/01/2019;0.3;MT;Caceres
09/10/2016;0.17;MT;Novo Santo Antonio
16/02/2018;0.13;PA;Maraba
16/02/2018;0.13;PA;Maraba
16/02/2018;0.11;PA;Maraba
16/02/2018;0.18;PA;Sao Domingos do Araguaia
03/10/2021;0.24;PA;Uruara
23/08/2020;0.21;AC;Sena Madureira
16/02/2018;3.28;PA;Sao Domingos do Araguaia
24/09/2022;0.4;PA;Sao Felix do Xingu
23/08/2020;0.09;AC;Porto Acre
16/02/2018;0.29;TO;Maurilandia do Tocantins
22/09/2021;0.17;PA;Novo Progresso
09/10/2016;0.13;MT;Novo Santo Antonio
23/08/2020;0.01;AC;Sena Madureira
16/02/2018;0.07;MA;Bom Jesus das Selvas
03/10/2021;0.17;PA;Altamira
16/02/2018;0.26;MA;Amarante do Maranhao
16/02/2018;10.84;PA;Xinguara
16/02/2018;0.15;PA;Paragominas
16/02/2018;0.13;MA;Nova Olinda do Maranhao
16/02/2018;0.43;PA;Tailandia
16/08/2022;0.07;PA;Floresta do Araguaia
24/09/2022;1.04;PA;Sao Felix do Xingu
16/02/2018;0.07;TO;Angico
14/08/2019;0.07;RO;Monte Negro
29/08/2020;0.08;AC;Assis Brasil
18/03/2019;0.26;MT;Itanhanga
03/10/2021;0.29;PA;Altamira
16/02/2018;0.08;MA;Rosario
16/02/2018;0.58;PA;Tailandia
21/10/2020;3.61;MT;Cotriguaçu
16/02/2018;0.54;PA;Tailandia
07/09/2018;0.35;RO;Porto Velho
16/02/2018;1.12;PA;Tailandia
03/10/2021;0.06;PA;Monte Alegre
16/02/2018;0.07;PA;Paragominas
16/02/2018;0.95;PA;Tailandia
02/08/2019;0.33;AC;Porto Acre
04/08/2020;0.01;PA;Oriximina
10/01/2019;0.18;MT;Comodoro
06/08/2021;4.27;MT;Nova Maringa
24/09/2022;0.31;PA;Sao Felix do Xingu
16/02/2018;1.21;PA;Tailandia
22/09/2021;0.13;PA;Itaituba
24/08/2019;0.08;PA;Ruropolis
23/08/2020;0.11;AM;Boca do Acre
16/02/2018;0.22;PA;Tailandia
16/02/2018;0.07;MA;Presidente Juscelino
16/02/2018;0.15;PA;Tailandia
03/10/2021;0.36;PA;Monte Alegre
16/02/2018;0.07;PA;Tailandia
23/08/2020;0.13;AC;Porto Acre
16/02/2018;0.26;PA;Tailandia
03/10/2021;0.1;PA;Uruara
23/08/2020;0.12;AC;Porto Acre
16/02/2018;0.08;MA;Bom Jesus das Selvas
23/08/2020;0.07;AM;Boca do Acre
16/02/2018;0.43;PA;Tailandia
16/02/2018;0.08;PA;Moju
24/09/2022;3.86;MT;Guaranta do Norte
16/02/2018;0.14;MA;Buritirana
24/08/2019;0.11;PA;Placas
22/01/2019;0.16;MT;Caceres
16/02/2018;0.59;PA;Paragominas
23/08/2020;0.34;AM;Boca do Acre
13/09/2018;0.08;RO;Vilhena
16/02/2018;0.31;PA;Paragominas
16/02/2018;0.13;PA;Paragominas
23/08/2020;0.09;AC;Manoel Urbano
23/08/2020;0.07;AC;Manoel Urbano
16/02/2018;0.47;PA;Paragominas
